[2014-08-11 22:49:30] Logging started. ZNC PID[15664] UID/GID[10009:10009]
[2014-08-11 23:00:55] [helixum/power2host] connected to IRC: 89.207.130.166
[2014-08-11 23:02:44] [helixum] connected to ZNC from 77.172.147.217
[2014-08-12 00:23:06] [helixum] disconnected from ZNC from 77.172.147.217
[2014-08-12 17:45:27] [helixum] connected to ZNC from 77.172.147.217
[2014-08-12 18:01:38] [helixum] disconnected from ZNC from 77.172.147.217
[2014-08-12 19:46:12] [helixum] connected to ZNC from 77.172.147.217
[2014-08-14 18:11:11] [helixum] connected to ZNC from 77.172.147.217
[2014-08-14 18:15:23] [helixum] disconnected from ZNC from 77.172.147.217
[2014-08-15 09:32:40] [helixum] disconnected from ZNC from 77.172.147.217
[2014-08-15 09:34:09] [helixum] connected to ZNC from 77.172.147.217
[2014-08-22 20:39:11] [helixum] disconnected from ZNC from 77.172.147.217
